generation,hypervolume,mean_speed,mean_safety,mean_smoothness,crash_rate,pareto_size,elapsed_s
1,31629.890,7.386,-7.080,-2.023,0.7080,8,93
2,32088.306,6.792,-5.160,-1.158,0.5160,6,173
3,33031.207,5.854,-3.640,-1.726,0.3640,7,274
4,33031.207,6.298,-3.560,-3.039,0.3560,7,361
5,33031.207,8.593,-4.880,-5.541,0.4880,8,465
6,33042.332,8.924,-4.840,-6.370,0.4840,9,552
7,33042.751,9.853,-4.880,-7.462,0.4880,11,649
8,33043.591,9.830,-4.640,-8.163,0.4640,12,751
9,33695.775,10.481,-5.040,-7.597,0.5040,12,848
10,33695.775,10.748,-5.160,-6.853,0.5160,12,936
11,33722.838,10.570,-4.880,-7.443,0.4880,12,1028
12,33722.838,11.362,-5.240,-6.227,0.5240,11,1137
13,33722.838,11.432,-5.240,-6.082,0.5240,11,1237
14,33765.282,11.660,-5.160,-7.004,0.5160,10,1334
15,33765.282,11.843,-5.240,-7.034,0.5240,10,1437
16,33765.282,11.442,-5.080,-7.028,0.5080,10,1550
17,33765.282,11.275,-4.920,-6.976,0.4920,10,1659
18,34011.782,11.642,-5.160,-6.772,0.5160,12,1754
19,34011.782,11.474,-4.960,-7.324,0.4960,12,1853
20,34011.782,11.458,-4.960,-7.314,0.4960,12,1956
21,34011.782,11.327,-4.920,-7.451,0.4920,12,2045
22,34011.782,11.268,-4.920,-7.381,0.4920,12,2146
23,34149.255,11.096,-4.640,-7.698,0.4640,14,2245
24,34289.166,11.712,-5.120,-6.473,0.5120,13,2331
25,34321.812,12.118,-5.240,-6.311,0.5240,14,2445
26,34322.099,11.938,-5.120,-6.165,0.5120,15,2546
27,34322.099,12.024,-5.040,-7.373,0.5040,16,2643
28,34322.950,12.424,-5.400,-7.379,0.5400,17,2746
29,34322.950,12.662,-5.600,-6.976,0.5600,17,2855
30,34322.950,12.736,-5.600,-6.696,0.5600,17,2961
31,34323.334,12.614,-5.440,-7.050,0.5440,17,3064
32,34323.626,12.522,-5.400,-7.823,0.5400,17,3174
33,34323.626,12.261,-5.240,-8.367,0.5240,17,3280
34,34323.626,11.869,-5.000,-8.435,0.5000,17,3380
35,34323.626,11.891,-5.000,-7.786,0.5000,17,3481
36,34323.626,11.935,-4.960,-8.014,0.4960,17,3596
37,34421.460,12.399,-5.000,-9.166,0.5000,19,3693
38,34421.460,12.574,-5.120,-9.167,0.5120,19,3800
39,34483.426,12.726,-5.160,-7.891,0.5160,19,3902
40,34483.426,12.756,-5.160,-9.765,0.5160,19,4014
41,34483.426,12.803,-5.360,-8.862,0.5360,19,4103
42,34483.426,12.650,-5.440,-8.257,0.5440,20,4203
43,34483.446,12.825,-5.400,-8.577,0.5400,21,4294
44,34486.546,12.994,-5.360,-7.723,0.5360,22,4390
45,34486.546,13.026,-5.320,-7.068,0.5320,22,4489
46,34486.546,12.918,-5.360,-6.786,0.5360,22,4578
47,34486.546,12.801,-5.200,-7.854,0.5200,22,4678
48,34486.546,12.978,-5.320,-7.679,0.5320,22,4786
49,34486.559,13.019,-5.400,-7.659,0.5400,23,4881
50,34486.559,12.983,-5.240,-7.866,0.5240,23,4964
51,34885.648,13.306,-5.320,-7.022,0.5320,24,5058
52,34903.607,13.855,-5.680,-3.903,0.5680,26,5159
53,34903.607,13.745,-5.600,-3.879,0.5600,26,5256
54,34903.607,13.770,-5.600,-3.896,0.5600,26,5352
55,34903.607,13.842,-5.600,-3.911,0.5600,26,5439
56,34903.607,13.888,-5.720,-3.999,0.5720,26,5544
57,34903.607,13.854,-5.640,-5.080,0.5640,26,5646
58,34903.607,13.866,-5.640,-5.098,0.5640,26,5744
59,34903.607,13.868,-5.600,-5.373,0.5600,26,5834
60,34903.607,13.778,-5.600,-5.367,0.5600,26,5930
61,34903.607,13.940,-5.600,-5.416,0.5600,26,6010
62,34903.607,14.199,-5.680,-6.227,0.5680,26,6099
63,34903.607,13.447,-5.280,-6.034,0.5280,26,6187
64,34903.607,13.508,-5.480,-4.600,0.5480,26,6287
65,34903.607,13.709,-5.480,-5.407,0.5480,26,6371
66,34903.607,13.621,-5.280,-6.590,0.5280,27,6468
67,34903.607,14.251,-5.640,-5.842,0.5640,27,6550
68,34903.607,14.105,-5.440,-7.040,0.5440,27,6643
69,34903.607,14.105,-5.440,-7.040,0.5440,27,6743
70,34903.607,14.105,-5.440,-7.040,0.5440,27,6838
71,34903.607,14.130,-5.440,-7.590,0.5440,27,6935
72,34903.607,14.220,-5.520,-7.582,0.5520,27,7022
73,34903.607,14.224,-5.520,-7.577,0.5520,27,7127
74,34903.607,14.224,-5.520,-7.577,0.5520,27,7220
75,35098.395,13.416,-5.080,-7.556,0.5080,22,7314
76,35099.003,13.454,-5.160,-7.612,0.5160,22,7403
77,35099.003,13.454,-5.160,-7.612,0.5160,22,7499
78,35099.003,13.570,-5.160,-7.488,0.5160,22,7597
79,35099.003,13.302,-5.000,-8.147,0.5000,22,7701
80,35109.344,13.406,-5.080,-7.762,0.5080,23,7801
81,35404.117,13.697,-5.000,-8.680,0.5000,22,7899
82,35404.117,13.781,-5.000,-9.838,0.5000,22,7997
83,35404.732,13.566,-4.960,-9.815,0.4960,23,8091
84,35404.732,13.566,-4.960,-9.815,0.4960,23,8194
85,35404.743,13.286,-4.840,-9.812,0.4840,24,8312
86,35405.830,13.342,-4.840,-9.808,0.4840,25,8421
87,35405.830,13.342,-4.840,-9.808,0.4840,25,8526
88,35405.830,13.342,-4.840,-9.808,0.4840,25,8626
89,35411.440,13.423,-4.960,-8.438,0.4960,25,8719
90,35411.440,13.423,-4.960,-8.438,0.4960,25,8818
91,35411.441,13.240,-4.920,-7.200,0.4920,26,8914
92,35411.441,13.115,-4.800,-7.215,0.4800,26,9012
93,35411.636,12.987,-4.720,-7.206,0.4720,27,9115
94,35434.667,12.968,-4.640,-7.995,0.4640,28,9203
95,35434.667,12.968,-4.640,-7.995,0.4640,28,9298
96,35434.822,12.685,-4.560,-7.990,0.4560,29,9396
97,35434.822,12.685,-4.560,-7.990,0.4560,29,9493
98,35434.822,12.627,-4.480,-8.016,0.4480,29,9578
99,35434.822,12.627,-4.480,-8.016,0.4480,29,9682
100,35434.822,12.455,-4.480,-6.645,0.4480,29,9773
101,35434.822,12.640,-4.560,-6.648,0.4560,29,9876
102,35435.893,12.671,-4.520,-6.647,0.4520,29,9974
103,35435.893,12.676,-4.480,-6.646,0.4480,29,10064
104,35435.893,12.676,-4.480,-6.646,0.4480,29,10158
105,35435.893,12.676,-4.480,-6.646,0.4480,29,10256
106,35435.893,12.686,-4.480,-6.639,0.4480,29,10354
107,35435.893,12.463,-4.400,-6.130,0.4400,30,10451
108,35436.475,12.442,-4.400,-6.127,0.4400,30,10549
109,35436.475,12.442,-4.400,-6.127,0.4400,30,10646
110,35436.643,12.432,-4.400,-6.111,0.4400,31,10740
111,35436.643,12.565,-4.480,-6.150,0.4480,31,10834
112,35436.647,12.741,-4.600,-6.111,0.4600,32,10928
113,35436.647,12.347,-4.400,-6.113,0.4400,32,11033
114,35475.098,12.108,-4.240,-4.742,0.4240,32,11128
115,35475.098,12.108,-4.240,-4.742,0.4240,32,11219
116,35475.098,12.108,-4.240,-4.742,0.4240,32,11300
117,35475.098,12.108,-4.240,-4.742,0.4240,32,11407
118,35475.203,12.301,-4.240,-4.745,0.4240,32,11491
119,35475.203,12.318,-4.240,-4.745,0.4240,32,11602
120,35475.203,12.318,-4.240,-4.745,0.4240,32,11704
121,35475.208,12.457,-4.280,-4.745,0.4280,33,11800
122,35475.208,12.457,-4.280,-4.745,0.4280,33,11897
123,35475.208,12.458,-4.280,-4.753,0.4280,33,12004
124,35475.208,12.458,-4.280,-4.753,0.4280,33,12110
125,35475.208,12.458,-4.280,-4.753,0.4280,33,11998
126,35475.208,12.458,-4.280,-4.753,0.4280,33,12487
127,35475.208,12.458,-4.280,-4.753,0.4280,33,12391
128,35475.208,12.458,-4.280,-4.753,0.4280,33,12486
129,35475.208,12.458,-4.280,-4.753,0.4280,33,12595
130,35477.262,11.945,-3.960,-4.783,0.3960,30,12699
131,35477.262,11.945,-3.960,-4.783,0.3960,30,12807
132,35477.262,11.945,-3.960,-4.783,0.3960,30,12922
133,35695.002,12.071,-4.000,-4.770,0.4000,28,13023
134,35695.002,12.165,-4.000,-4.770,0.4000,28,13109
135,35695.002,11.998,-3.920,-4.791,0.3920,28,13217
136,35695.002,11.998,-3.920,-4.791,0.3920,28,13326
137,35695.002,11.998,-3.920,-4.791,0.3920,28,13433
138,35695.002,11.998,-3.920,-4.791,0.3920,28,13527
139,35695.002,11.998,-3.920,-4.791,0.3920,28,13613
140,35695.002,11.998,-3.920,-4.791,0.3920,28,13701
141,35695.002,11.998,-3.920,-4.791,0.3920,28,13807
142,35695.002,12.004,-3.920,-4.791,0.3920,28,13922
143,35695.002,12.004,-3.920,-4.791,0.3920,28,14016
144,35695.002,12.129,-3.960,-6.100,0.3960,29,14109
145,35695.002,12.131,-3.960,-6.101,0.3960,29,14200
146,35695.002,12.050,-3.920,-6.293,0.3920,29,14309
147,35695.002,12.050,-3.920,-6.293,0.3920,29,14400
148,35695.002,12.050,-3.920,-6.293,0.3920,29,14491
149,35695.002,12.050,-3.920,-6.293,0.3920,29,14591
150,35695.002,11.937,-3.800,-6.947,0.3800,29,14694
151,35695.002,11.901,-3.800,-6.936,0.3800,29,14788
152,35695.002,11.901,-3.800,-6.936,0.3800,29,14880
153,35695.002,12.240,-4.000,-7.022,0.4000,27,14980
154,35695.002,12.648,-4.160,-6.953,0.4160,27,15081
155,35695.002,12.474,-3.960,-7.680,0.3960,27,15182
156,35695.002,12.474,-3.960,-7.680,0.3960,27,15285
157,35695.002,12.544,-3.960,-8.207,0.3960,27,15386
158,35695.002,12.544,-3.960,-8.207,0.3960,27,15489
159,35695.002,12.389,-3.880,-8.801,0.3880,27,15578
160,35695.002,12.389,-3.880,-8.801,0.3880,27,15671
161,35695.002,12.429,-3.880,-8.800,0.3880,27,15765
162,35695.002,12.429,-3.880,-8.800,0.3880,27,15872
163,35695.002,12.429,-3.880,-8.800,0.3880,27,15974
164,35695.002,12.429,-3.880,-8.800,0.3880,27,16074
165,35695.002,12.429,-3.880,-8.800,0.3880,27,16183
166,35695.002,12.429,-3.880,-8.800,0.3880,27,16286
167,35695.002,12.429,-3.880,-8.800,0.3880,27,16397
168,35695.002,12.429,-3.880,-8.800,0.3880,27,16495
169,35695.002,12.429,-3.880,-8.800,0.3880,27,16592
170,35695.002,12.429,-3.880,-8.800,0.3880,27,16696
171,35695.002,12.429,-3.880,-8.800,0.3880,27,16813
172,35695.002,12.429,-3.880,-8.800,0.3880,27,16914
173,35700.153,12.418,-3.880,-8.152,0.3880,28,17018
174,35700.153,12.418,-3.880,-8.152,0.3880,28,17118
175,35700.153,12.480,-3.880,-8.554,0.3880,28,17213
176,35700.153,12.480,-3.880,-8.554,0.3880,28,17308
177,35700.153,12.492,-3.880,-8.563,0.3880,28,17409
178,35701.186,12.518,-3.880,-8.558,0.3880,28,17508
179,35701.186,12.523,-3.880,-8.559,0.3880,28,17610
180,35701.186,12.523,-3.880,-8.559,0.3880,28,17705
181,35701.186,12.523,-3.880,-8.559,0.3880,28,17802
182,35701.186,12.523,-3.880,-8.559,0.3880,28,17903
183,35701.186,12.523,-3.880,-8.559,0.3880,28,18004
184,35701.186,12.523,-3.880,-8.559,0.3880,28,18098
185,35701.211,12.859,-4.040,-8.552,0.4040,29,18208
186,35701.211,12.859,-4.040,-8.552,0.4040,29,18304
187,35701.211,12.859,-4.040,-8.552,0.4040,29,18400
188,36556.796,12.919,-3.960,-8.529,0.3960,29,18498
189,36556.796,12.919,-3.960,-8.529,0.3960,29,18599
190,36556.796,12.919,-3.960,-8.529,0.3960,29,18694
191,36556.796,12.919,-3.960,-8.529,0.3960,29,18786
192,36556.796,12.919,-3.960,-8.529,0.3960,29,18879
193,36556.796,12.919,-3.960,-8.529,0.3960,29,19010
194,36556.796,12.919,-3.960,-8.529,0.3960,29,19073
195,36556.796,12.919,-3.960,-8.529,0.3960,29,19174
196,36556.796,12.919,-3.960,-8.529,0.3960,29,19278
197,36556.796,12.919,-3.960,-8.529,0.3960,29,19382
198,36556.796,12.919,-3.960,-8.529,0.3960,29,19486
199,36556.796,12.919,-3.960,-8.529,0.3960,29,19566
200,36556.796,12.934,-3.960,-8.524,0.3960,29,19670
201,36556.796,12.934,-3.960,-8.524,0.3960,29,19765
202,36556.796,12.934,-3.960,-8.524,0.3960,29,19854
